Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3297,Apr16 2017 08:07:22,T.Prestgard,C2,Kreutz,Apr16 2017
3341,Jun07 2017 07:18:36,T.Prestgard,C2,Kreutz,Jun06 2017
3343,Jun08 2017 05:35:11,T.Prestgard,C3 C2,Kreutz,Jun08 2017
3374,Jul19 2017 15:36:13,T.Prestgard,C3,Kreutz,Jul18 2017
3392,Aug20 2017 14:24:09,T.Prestgard,C3,Kreutz,Aug19-20 2017
3403,Sep06 2017 03:33:00,T.Prestgard,C3,Kreutz,Sep05 2017
3468*,Oct28 2017 12:56pm,T.Prestgard,C3,Kreutz,Jul14 00
3483,Dec22 2017 16:55:20,T.Prestgard,H1 C2,Kreutz,Dec20-21 2017
3435,Various,T.Prestgard/W.Boonplod,C3,NonGrp,Oct27 2017
