PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
2000-06-22.57,C/2000 M4 SOHO-158,M. Meyer & M. Boschat,C2,0.0055,7452,
2000-03-05.55,C/2000 E1 SOHO-107,M. Meyer & M. Boschat & T. Harincar & M. Oates,C2 C3,0.0050,7376,
