PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,COMET GROUP
2009-04-12.635,C/2009 G01 (STEREO) STEREO-020,J.Ruan,HI1B,1.13701,Non-Group
-2009,C/2009 (STEREO) STEREO-028,J.Ruan,HI1A,,Kreutz
-2009,C/2009 (STEREO) STEREO-033,J.Ruan,HI1A,,Kreutz
-2009,C/2009 (STEREO) STEREO-029,J.Ruan and A.Watson,HI1A,,Kreutz
-2009,C/2009 (STEREO) STEREO-030,J.Ruan and A.Watson,HI1A,,Kreutz
