PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
2002-02 ,C/2002 SOHO-1906,M. Kusiak,C3,, ,
1999-03-,C/1999 SOHO-1960,M. Kusiak,C3,, ,V
