PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE
2009-05-09.99,C/2009 J09 SOHO-1647,M.Kusiak,C2,0.0049
2009-05-09.03,C/2009 J08 SOHO-1646,M.Kusiak,C2,0.0051
2009-05-03.86,C/2009 J02 SOHO-1640,M.Kusiak,C2,0.0051
2009-04-19.94,C/2009 H04 SOHO-1633,M.Kusiak,C2,0.0075
2009-04-18.87,C/2009 H03 SOHO-1632,M.Kusiak,C2,0.0052
2009-03-01.90,C/2009 E02 SOHO-1618,M.Kusiak&B.Zhou,C3,0.0051
2009-02-24.44,C/2009 D05 SOHO-1614,M.Kusiak,C3,0.0051
2008-12-26.15,C/2008 Y18 SOHO-1606,M.Kusiak,C2,0.0052
2008-12-22.17,C/2008 Y08 SOHO-1590,M.Kusiak,C2,0.0055
2008-12-21.96,C/2008 Y09 SOHO-1591,M.Kusiak,C2 C3,0.0058
2008-10-05.88,C/2008 T09 SOHO-1540,M.Kusiak,C2 C3,0.0049
2008-09-30.96,C/2008 S08 SOHO-1536,M.Kusiak,C2 C3,0.0049
2008-09-28.89,C/2008 S06 SOHO-1534,M.Kusiak,C2 C3,0.0051
2008-08-08.86,C/2008 P04 SOHO-1520,M.Kusiak,C3,0.0073
2008-08-07.37,C/2008 P03 SOHO-1519,M.Kusiak,C2 C3,0.0050
2008-06-25.69,C/2008 M04 SOHO-1499,M.Kusiak,C2,0.0060
2008-06-22.93,C/2008 M02 SOHO-1497,M.Kusiak,C2,0.0053
2008-06-22.09,C/2008 M01 SOHO-1496,M.Kusiak,C2,0.0048
2008-06-13.90,C/2008 L13 SOHO-1493,M.Kusiak,C2,0.0047
2008-06-13.82,C/2008 L12 SOHO-1492,M.Kusiak,C2,0.0050
2008-06-02.92,C/2008 L04 SOHO-1484,M.Kusiak,C2,0.0073
2008-05-24.10,C/2008 K5 SOHO-1477,M.Kusiak,C2,0.0070
2008-05-18.39,C/2008 K3 SOHO-1475,M.Kusiak,C2,0.0079
2008-05-18.07,C/2008 K2 SOHO-1474,M.Kusiak,C2,0.0051
2008-05-17.74,C/2008 K1 SOHO-1473,M.Kusiak,C2,0.0054
2008-05-05.72,C/2008 J09 SOHO-1464,M.Kusiak,C2,0.0051
2008-05-01.26,C/2008 H08 SOHO-1461,M.Kusiak,C2,0.0051
2008-04-09.85,C/2008 G04 SOHO-1452,M.Kusiak,C2,0.0049
2007-12-10.74,C/2007 X06 SOHO-1411,M.Kusiak,C2,0.0052
