PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE
-2011,C/2011 SOHO-2154,Kusiak/Schmalz,C3
-2011,C/2011 SOHO-2143,Kusiak/Zhou/Liwo/Xu,C2 C3
-2011,C/2011 SOHO-2138,Kusiak/Schmalz,C2 C3
-2011,C/2011 SOHO-2011,Kusiak/Uchina,C3
