PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
2007-01-18.82,C/2007 B04 SOHO-1257,H.Su,C3,0.0050,,
2007-01-09.98,C/2007 A05 SOHO-1254,H.Su,C3,0.0051,,
2007-01-05.44,C/2007 A04 SOHO-1253,H.Su,C2 C3,0.0049,,
2006-12-29.75,C/2006 Y16 SOHO-1251,H.Su,C3,0.0049,,
2006-12-12.73,C/2006 X7 SOHO-1233,H.Su,C2 C3,0.0044,,
2006-11-14.34,C/2006 V10 SOHO-1223,H.Su,C2,0.0052,,
2006-11-08.93,C/2006 V7 SOHO-1220,H.Su,C2,0.0050,,
2006-11-07.88,C/2006 V6 SOHO-1219,H.Su,C2,0.0052,,
2006-11-04.71,C/2006 V4 SOHO-1216,H.Su,C2 C3,0.0051,,
2006-11-03.38,C/2006 V3 SOHO-1215,H.Su,C2,0.0051,,
2006-10-28.72,C/2006 U14 SOHO-1210,H.Su,C2 C3,0.0048,,
2006-10-25.75,C/2006 U13 SOHO-1209,H.Su,C2,0.0051,,
2006-10-25.08,C/2006 U11 SOHO-1207,H.Su,C2 C3,0.0053,,
2006-10-03.86,C/2006 T3 SOHO-1196,H.Su,C2 C3,0.0051,,
2006-09-30.98,C/2006 S13 SOHO-1194,H.Su,C2 C3,0.0050,,
2006-08-04.10,C/2006 P6 SOHO-1184,H.Su,C3,0.0072,,
2006-08-03.79,C/2006 P5 SOHO-1183,H.Su,C3,0.0050,,
2006-07-27.58,C/2006 O8 SOHO-1179,H.Su,C2 C3,0.0052,,
2006-07-27.35,C/2006 O7 SOHO-1178,H.Su,C2 C3,0.0055,,
2006-07-24.72,C/2006 O6 SOHO-1177,H.Su,C3,0.0049,,
2006-07-22.22,C/2006 O5 SOHO-1176,H.Su,C3,0.0079,,
2006-07-20.88,C/2006 O4 SOHO-1175,H.Su,C3,0.0057,,
2006-07-14.70,C/2006 N2 SOHO-1172,H.Su,C3,0.0073,,
2006-06-25.45,C/2006 M8 SOHO-1169,H.Su,C2,0.0079,,
2006-06-22.88,C/2006 M7 SOHO-1167,H.Su,C2,0.0049,,
2006-06-14.98,C/2006 L8 SOHO-1164,H.Su,C2,0.0049,,
2006-06-08.46,C/2006 L5 SOHO-1161,H.Su,C2,0.0062,,
2006-05-29.74,C/2006 K19 SOHO-1154,H.Su,C2,0.0053,,
2006-05-23.60,C/2006 K11 SOHO-1145,H.Su,C2 C3,0.0058,,
2006-05-23.15,C/2006 K12 SOHO-1146,H.Su,C2,0.0054,,
2006-05-10.98,C/2006 J9 SOHO-1135,H.Su&T.Chen,C2,0.0055,,
2006-05-04.89,C/2006 J3 SOHO-1129,H.Su,C2,0.0049,,
2006-05-03.62,C/2006 J1 SOHO-1127,H.Su,C2,0.0070,,
2006-04-28.97,C/2006 H6 SOHO-1126,H.Su&J.Sachs,C2 C3,0.0049,,
2006-04-24.67,C/2006 H5 SOHO-1125,H.Su,C2,0.0052,,
2006-04-17.87,C/2006 H2 SOHO-1122,H.Su,C2,0.0051,,
2006-03-31.10,C/2006 F8 SOHO-1119,H.Su,C2 C3,0.0052,,
2006-03-13.85,C/2006 E3 SOHO-1111,H.Su,C3,0.0070,,
2006-02-21.70,C/2006 D4 SOHO-1104,H.Su,C3,0.0052,,
2006-02-17.34,C/2006 D2 SOHO-1100,H.Su,C2 C3,0.0050,,
2006-01-20.93,C/2006 B2 SOHO-1090,H.Su,C3,0.0051,,
2005-12-09.57,C/2005 X7 SOHO-1068,H.Su,C2,0.0072,,
2005-12-05.00,C/2005 X3 SOHO-1064,H.Su,C2,0.0050,,
2005-12-03.86,C/2005 X2 SOHO-1063,H.Su,C2,0.0051,,
2005-11-30.12,C/2005 W17 SOHO-1061,H.Su,C2,0.0050,,
2005-11-25.68,C/2005 W15 SOHO-1059,H.Su,C2 C3,0.0066,,
2005-11-14.86,C/2005 V9 SOHO-1047,H.Su,C2 C3,0.0073,,
2005-11-09.68,C/2005 V7 SOHO-1045,H.Su,C2,0.0050,,
2005-11-09.56,C/2005 V6 SOHO-1044,H.Su,C2 C3,0.0052,,
2005-11-04.31,C/2005 V3 SOHO-1041,H.Su,C2,0.0049,,
2005-11-03.00,C/2005 V2 SOHO-1040,H.Su,C2,0.0051,,
2005-10-30.41,C/2005 U8 SOHO-1039,H.Su,C2,0.0053,,
2005-10-19.79,C/2005 U4 SOHO-1034,H.Su,C2,0.0051,,
2005-10-19.46,C/2005 U3 SOHO-1033,H.Su,C2 C3,0.0052,,
2005-10-18.70,C/2005 U2 SOHO-1032,H.Su,C2 C3,0.0055,,
2005-10-15.09,C/2005 T10 SOHO-1030,H.Su,C2,0.0051,,
2005-10-07.22,C/2005 T8 SOHO-1028,H.Su,C2 C3,0.0052,,
2005-10-02.55,C/2005 T6 SOHO-1026,H.Su,C2 C3,0.0061,,
2005-09-29.29,C/2005 S1 SOHO-1024,H.Su,C2 C3,0.0048,,
2005-09-26.89,C/2005 S12 SOHO-1023,H.Su,C2 C3,0.0069,,
2005-09-25.97,C/2005 S11 SOHO-1021,H.Su,C2 C3,0.0089,,
2005-09-25.26,C/2005 S9 SOHO-1020,H.Su,C2 C3,0.0098,,
2005-09-24.43,C/2005 S8 SOHO-1018,H.Su,C2 C3,0.0049,,
2005-09-21.28,C/2005 S6 SOHO-1017,H.Su,C2 C3,0.0048,,
2005-09-19.43,C/2005 S5 SOHO-1016,H.Su,C2 C3,0.0048,,
2005-09-16.57,C/2005 R7 SOHO-1015,H.Su,C2 C3,0.0049,,
