PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE
2007-09-28.56,C/2007 S11 SOHO-1362,R.Kracht,C2
2008-02-03.74,C/2008 C03 SOHO-1434,R.Kracht,C2
2008-02-15.27,C/2008 C09 SOHO-1440,R.Kracht,C2
2008-05-31.23,C/2008 K10 SOHO-1483,R.Kracht,C2
2008-07-10.68,C/2008 N10 SOHO-1511,R.Kracht,C2
2008-09-03.86,C/2008 R08 SOHO-1524,R.Kracht,C2
2008-09-17.96,C/2008 S02 SOHO-1532,R.Kracht,C2
2008-10-04.23,C/2008 T07 SOHO-1538,R.Kracht,C2
2008-12-22.65,C/2008 Y12 SOHO-1594,R.Kracht,C2
2009-06-30.62,C/2009 M08 SOHO-1682,R.Kracht,C3 C2
-2011,C/2011 SOHO-2015,R.Kracht,C2
