ID#,Report Date,MSG#,Discoverer(s),CAMS,Group,Images of...
65,Sep03 2007,270,A.Watson,H1B,Kreutz,Aug31-Sep01 2007
66,Sep08 2007,278,A.Watson,H1B,Kreutz,Sep09 2007
119,Dec02 2019 21:47,2678,A.Watson,HI-1,Kreutz,Nov28 2019
