ID,Discoverer,comets
1,Ambrus A,1
2,Ball B,1
3,Banach E,9
4,Battams K,22
5,Berrett P,41
6,Bezugly V,6
7,Bhagat P,1
8,Biesecker D,53
9,Biesiada M,28
10,Biros R,1
11,Boonplod W,692
12,Boschat M,60
13,Cane L,3
14,Cao Z,3
15,Cernis K,21
16,Chen D,7
17,Chen T,9
18,Collison P,1
19,Cyr C St,3
20,Danaher J,11
21,Deshmukh S,8
22,Evans D,20
23,Farmer S Jr,13
24,Gallina G,2
25,Gao X,4
26,Godunov A,8
27,Gorelli R,2
28,Gregory S,2
29,Gu S,2
30,Gu W,3
31,Hammer D,5
32,Hanson D,2
33,Harincar T,1
34,Hoenig S,43
35,Hoffman T,117
36,Hui M T,10
37,Isaev E,2
38,Jin Z,6
39,Jager M,1
40,Johnson D,1
41,Kaluzny M,7
42,Kanbi K El,3
43,Kida K,29
44,Kotobuki,1
45,Kracht R,271
46,Kubczak A,26
47,Kusiak M,161
48,Leprette X,100
49,Lewis D,10
50,Liang C,3
51,Lin C,1
52,Liu L,3
53,Liu J,1
54,Liwo S,109
55,Lovejoy T,11
56,Luethen H,1
57,Makkinen T,2
58,Matson R,103
59,Mattiazzo M,7
60,Maysonet P,10
61,Mazzucato M,7
62,McCarty B,9
63,Meyer M,40
64,Mimeev A,4
65,Mulye S,11
66,Nakano A,1
67,Nakonechny K,4
68,Oates M,144
69,Otterstedt H,7
70,Pappa G,2
71,Pickard R,1
72,Prestgard T,81
73,Renai S,2
74,Reszelewski R,4
75,Ruan J,72
76,Sachs J,54
77,Sato H,1
78,Scarmato T,25
79,Schenk K,11
80,Schmalz S,94
81,Shanklin J,5
82,Sharma P,2
83,Shkreby P,5
84,Shurpakov S,30
85,Stezelberger S,14
86,Su H,208
87,Sufa A,1
88,Sun G,9
89,Sun P,120
90,Suzuki M,1
91,Tan H,27
92,Tsai Y S,2
93,Uchina M,379
94,Vourlidas A,5
95,Wang B,1
96,Watson A,4
97,Xu Z,301
98,Yang Z,2
99,Ye Q,7
100,Yuan S,11
101,Zhang J,1
102,Zheng Q,2
103,Zhou B,381
104,Zhou X M,65
105,Zu X,11
106,Zhu J,1
