ID_country,Country,Continent,Number_discoverers,Number_discoveries
2,CHN,Asia,2,14
9,USA,North America,2,8
10,N/A,N/A,2,6
6,NOR,Europe,1,30
1,AUS,Oceania,1,27
5,JPN,Asia,1,5
3,DEU,Europe,1,3
8,THA,Asia,1,3
4,FRA,Europe,1,2
7,POL,Europe,1,1
