ID,Discoverer,comets
1,Battams K,5
2,Boonplod W,3
3,Ferguson S,1
4,Kanbi El,2
5,Kracht R,3
6,Kusiak M,1
7,Matson R,3
8,Prestgard T,30
9,Ruan J,5
10,Sun P,1
11,Uchina M,5
12,Watson A,27
13,Xu Z,13
