PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE
-2011,C/2011 SOHO-2122,A.Godunov,C3,  
-2011,C/2011 SOHO-2117,A.Godunov,C3,  
-2011,C/2011 SOHO-2088,A.Godunov,C2 C3,  
-2011,C/2011 SOHO-2086,A.Godunov,C2 C3,  
-2011,C/2011 SOHO-2056,A.Godunov,C2,  
-2011,C/2011 SOHO-2029,A.Godunov,C3,  
-2011,C/2011 SOHO-2019,A.Godunov,C3,  
-2011,C/2011 SOHO-2007,A.Godunov,C3,  
