1,Battams K,1
2,Biesecker D A,1
3,Gregory S,1
4,Hoffman T,2
5,Kida K,1
6,Kracht R,25
7,Liwo S,1
8,Matson R,3
9,Meyer M,1
10,Oates M,1
11,Otterstedt H,1
12,Ruan J,1
13,Schmalz S,2
14,Su H,3
15,Watson A,1
16,Xu Z,2
17,Zhou B,7
