PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
2004-06-26.76,C/2004 M3 SOHO-809,D.-H.Chen,C2,0.0078,8380
2004-05-23.54,C/2004 K7 SOHO-787,D.-H.Chen,C2,0.0050,8367
2004-02-14.88,C/2004 C8 SOHO-741,D.Chen,C3,0.0050,8365
2003-05-27.64,C/2003 K11 SOHO-619,D.-H. Chen,C2,0.0050,8327
