PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
2000-05-11.85,C/2000 J6 SOHO-282,T. Scarmato,C2,0.0064,7567
2001-04-27.40,C/2001 H6 SOHO-309,T. Scarmato,C2 C3,0.0058,7631
2001-05-30.07,C/2001 K8 SOHO-319,T. Scarmato,C2,0.0077,7641
2001-06-06.09,C/2001 L4 SOHO-323,T. Scarmato,C2,0.0053,7642
2001-06-14.12,C/2001 L9 SOHO-328,T. Scarmato,C2,0.0076,7646
2001-06-22.43,C/2001 M6 SOHO-335,T. Scarmato,C2,0.0058,7650
2001-11-01.74,C/2001 V1 SOHO-370,T. Scarmato,C2,0.0075,7759
2002-06-11.83,C/2002 L5 SOHO-461,T. Scarmato,C2,0.0060,7919
