PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
2001-11-14.46,C/2001 V5 SOHO-374,A. Mimeev,C2,0.0053,7764,
2001-11-04.53,C/2001 V2 SOHO-371,A. Mimeev &F. Mimeev,C2,0.0055,7759,
2000-06-24.52,C/2000 M5 SOHO-162,A. Mimeev & P. Shkreby,C2,0.0067,7452,
