PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
2000-02-01.49,C/2000 B7 SOHO-99,M. Meyer & T. Lovejoy,C3,0.0050,7386,
2000-01-30.21,C/2000 B6 SOHO-98,M. Meyer & T. Lovejoy & M. Oates,C3,0.0052,7386,
