ID,Discoverer,comets
1,Hoffman T,4
2,Kracht R,23
3,Kubczak A,1
4,Matson R,3
5,Scarmato T,1
6,Schmalz S,1
7,Shanklin J,1
8,Su H,1
9,Uchina M,1
10,Xu Z,2
11,Zhou B,3
12,Zhou X M,2
