ID,Discoverer,comets
11,Boonplod W,727
93,Uchina M,394
103,Zhou B,381
97,Xu Z,301
45,Kracht R,271
86,Su H,208
47,Kusiak M,161
68,Oates M,144
89,Sun P,124
35,Hoffman T,117
54,Liwo S,117
58,Matson R,103
48,Leprette X,100
80,Schmalz S,94
72,Prestgard T,85
75,Ruan J,72
104,Zhou X M,65
12,Boschat M,60
76,Sachs J,54
8,Biesecker D,53
34,Hoenig S,43
5,Berrett P,42
63,Meyer M,40
9,Biesiada M,36
84,Shurpakov S,32
43,Kida K,29
91,Tan H,27
46,Kubczak A,26
78,Scarmato T,25
4,Battams K,22
15,Cernis K,21
22,Evans D,20
85,Stezelberger S,14
23,Farmer S Jr,13
20,Danaher J,11
55,Lovejoy T,11
65,Mulye S,11
79,Schenk K,11
100,Yuan S,11
105,Zu X,11
36,Hui M T,10
49,Lewis D,10
60,Maysonet P,10
71,Pickard R,10
3,Banach E,9
17,Chen T,9
62,McCarty B,9
88,Sun G,9
21,Deshmukh S,8
26,Godunov A,8
10,Biros R,7
16,Chen D,7
41,Kaluzny M,7
59,Mattiazzo M,7
61,Mazzucato M,7
69,Otterstedt H,7
99,Ye Q,7
6,Bezugly V,6
38,Jin Z,6
31,Hammer D,5
81,Shanklin J,5
83,Shkreby P,5
94,Vourlidas A,5
25,Gao X,4
64,Mimeev A,4
67,Nakonechny K,4
74,Reszelewski R,4
96,Watson A,4
13,Cane L,3
14,Cao Z,3
19,Cyr C St,3
30,Gu W,3
42,Kanbi K El,3
50,Liang C,3
52,Liu L,3
24,Gallina G,2
27,Gorelli R,2
28,Gregory S,2
29,Gu S,2
32,Hanson D,2
37,Isaev E,2
57,Makkinen T,2
70,Pappa G,2
73,Renai S,2
82,Sharma P,2
92,Tsai Y S,2
98,Yang Z,2
102,Zheng Q,2
1,Ambrus A,1
2,Ball B,1
7,Bhagat P,1
18,Collison P,1
33,Harincar T,1
39,Jager M,1
40,Johnson D,1
44,Kotobuki,1
51,Lin C,1
53,Liu J,1
56,Luethen H,1
66,Nakano A,1
77,Sato H,1
87,Sufa A,1
90,Suzuki M,1
95,Wang B,1
101,Zhang J,1
106,Zhu J,1
