ID,Discoverer,comets
9,Boonplod W,652
100,Zhou B,381
90,Uchina M,366
94,Xu Z,301
43,Kracht R,271
83,Su H,208
45,Kusiak M,161
66,Oates M,144
33,Hoffman T,117
86,Sun P,114
52,Liwo S,106
56,Matson R,103
46,Leprette X,100
77,Schmalz S,94
69,Prestgard T,77
72,Ruan J,72
101,Zhou X M,65
10,Boschat M,60
73,Sachs J,54
7,Biesecker D,53
32,Hoenig S,43
61,Meyer M,40
5,Berrett P,37
41,Kida K,29
81,Shurpakov S,29
88,Tan H,27
44,Kubczak A,26
75,Scarmato T,25
4,Battams K,22
13,Cernis K,21
20,Evans D,20
8,Biesiada M,19
82,Stezelberger S,14
21,Farmer S Jr,13
18,Danaher J,11
53,Lovejoy T,11
63,Mulye S,11
76,Schenk K,11
97,Yuan S,11
102,Zu X,11
34,Hui M T,10
47,Lewis D,10
58,Maysonet P,10
3,Banach E,9
15,Chen T,9
60,McCarty B,9
85,Sun G,9
19,Deshmukh S,8
24,Godunov A,8
14,Chen D,7
39,Kaluzny M,7
59,Mazzucato M,7
67,Otterstedt H,7
96,Ye Q,7
6,Bezugly V,6
36,Jin Z,6
57,Mattiazzo M,6
29,Hammer D,5
78,Shanklin J,5
80,Shkreby P,5
91,Vourlidas A,5
23,Gao X,4
62,Mimeev A,4
65,Nakonechny K,4
71,Reszelewski R,4
93,Watson A,4
11,Cane L,3
12,Cao Z,3
17,Cyr C St,3
28,Gu W,3
40,Kanbi K El,3
48,Liang C,3
50,Liu L,3
22,Gallina G,2
25,Gorelli R,2
26,Gregory S,2
27,Gu S,2
30,Hanson D,2
35,Isaev E,2
55,Makkinen T,2
68,Pappa G,2
70,Renai S,2
79,Sharma P,2
89,Tsai Y S,2
95,Yang Z,2
99,Zheng Q,2
1,Ambrus A,1
2,Ball B,1
16,Collison P,1
31,Harincar T,1
37,Jager M,1
38,Johnson D,1
42,Kotobuki,1
49,Lin C,1
51,Liu J,1
54,Luethen H,1
64,Nakano A,1
74,Sato H,1
84,Sufa A,1
87,Suzuki M,1
92,Wang B,1
98,Zhang J,1
103,Zhu J,1
