ID#,Report Date,MSG#,Discoverer(s),CAMS,Group,Images of...
86,Mar24 2017 12:42:01,,K.Battams,H1A,Kreutz,Feb19 2017
91,Jan09 2018 11:37,2533,K.Battams,HI-1,Kreutz,Jan06-07 2018
106,Feb19 2019 11:18,2674,K.Battams,HI-1,Kreutz,Dec23 2018
