ID,Discoverer,comets
1,Banach E,1
2,Battams K,2
3,Berrett P,12
4,Biesiada M,2
5,Boonplod W,15
6,Cernis K,1
7,Hoffman T,8
8,Jin Z,1
9,Kida K,2
10,Kracht R,48
11,Kubczak A,2
12,Kusiak M,7
13,Leprette X,4
14,Liwo S,9
15,Matson R,4
16,Maysonet P,1
17,Meyer M,2
18,Mimeev A,1
19,Oates M,5
20,Prestgard T,1
21,Ruan J,5
22,Schmalz S,6
23,Stezelberger S,1
24,Su H,13
25,Sun P,7
26,Uchina M,9
27,Xu Z,25
28,Yuan S,1
29,Zhou B,19
30,Zhou X M,3
31,Zhu J,1
