Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3278,Mar04 2017 05:02:57,S.Liwo,H1/C3,Kreutz,Mar04-05 2017
3283,Mar27 2017 10:17:51,S.Liwo,H1/C3 C2,Kreutz,Mar26-28 2017
3313,Apr30 2017 03:39:12,S.Liwo,C2,Kreutz,Apr30 2017
3425,Oct11 2017 12:22:48,S.Liwo,C2,Kreutz,Oct11 2017
3432,Oct21 2017 10:27:54,S.Liwo,C3 C2,Kreutz,Oct21 2017
3453,Nov13 2017 13:31:46,S.Liwo,C2,Kreutz,Nov13 2017
3457,Nov15 2017 13:08:35,S.Liwo,C2,Kreutz,Nov15 2017
3466,Nov30 2017 11:15:49,S.Liwo,C2,Kreutz,Nov30 2017
3478,Dec19 2017 15:50:25,S.Liwo,H1 C3 C2,Kreutz,Dec19-21 2017
