DATE,NAME,DISCOVERER,TELESCOPE,q,IAUC,V/A
2008 Jun 10.15,C/2008 L7 SOHO-1488,R.Kracht,C2,0.0455,,V
2008 Jun 10.17,C/2008 L6 SOHO-1487,R.Kracht,C2,0.0457,,V
