Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3263,Jan06 2017 05:59:21,M.Uchina,H1/C3,Kreutz,Jan05-06 2017
3264,Jan14 2017 03:15:56,M.Uchina,C2,Meyer,Jan14 2017
3275,Mar01 2017 16:44:16,M.Uchina,C2,Meyer,Mar01 2017
3276,Mar01 2017 22:21:45,M.Uchina,H1/C3,Kreutz,Mar02 2017
3285,Apr02 2017 23:36:49,M.Uchina,C2,Kreutz,Apr02 2017
3287,Apr04 2017 17:13:56,M.Uchina,C2,Kreutz,Apr04 2017
3292,Apr10 2017 05:50:17,M.Uchina,C2,Kreutz,Apr10 2017
3294,Apr13 2017 08:18:04,M.Uchina,C2,Kreutz,Apr13 2017
3296,Apr15 2017 06:34:04,M.Uchina,C2,Kreutz,Apr15 2017
3311,Apr28 2017 17:58:34,M.Uchina,C2,?NonGrp?,Apr28 2017
3319,May09 2017 17:24:13,M.Uchina,C2,Kreutz,May09 2017
3321,May12 2017 18:57:00,M.Uchina,C2,Kreutz,May12 2017
3322,May13 2017 02:54:23,M.Uchina,C3 C2,Kreutz,May13 2017
3328,May21 2017 01:35:18,M.Uchina,C2,Meyer,May21 2017
3332,May29 2017 17:28:28,M.Uchina,C2,Kreutz,May29 2017
3357,Jun28 2017 09:15:03,M.Uchina,C3 C2,Kreutz,Jun28-29 2017
3358,Jun29 2017 18:22:41,M.Uchina,C2,Kreutz,Jun29 2017
3363,Jul06 2017 00:39:25,M.Uchina,C3 C2,Kreutz,Jul05-06 2017
3364,Jul08 2017 17:46:41,M.Uchina,C2,Kreutz,Jul08 2017
3380,Aug01 2017 08:07:21,M.Uchina,C2,Meyer,Aug01 2017
3394,Aug24 2017 10:16:13,M.Uchina,C3 C2,Kreutz,Aug23-24 2017
3395,Aug24 2017 17:23:20,M.Uchina,C3 C2,NonGrp,Aug24 2017
3408,Sep18 2017 17:24:10,M.Uchina,C2,Kreutz,Sep18 2017
3409,Sep22 2017 18:10:34,M.Uchina,C3 C2,Kreutz,Sep22-23 2017
3419,Oct08 2017 16:05:16,M.Uchina,C2,Kreutz,Oct08 2017
3438,Oct28 2017 22:18:13,M.Uchina,C2,Kreutz,Oct29 2017
3439,Oct29 2017 17:45:46,M.Uchina,C2,Kreutz,Oct29 2017
3443,Nov04 2017 08:13:49,M.Uchina,C2,Kreutz,Nov03-04 2017
3445,Nov05 2017 07:40:28,M.Uchina,C2,Kreutz,Nov05 2017
3452,Nov12 2017 07:12:19,M.Uchina,C2,Kreutz,Nov12 2017
3474,Dec06 2017 09:35:57,M.Uchina,C2,Kreutz,Dec06 2017
3479,Dec20 2017 15:14:50,M.Uchina,H1 C3 C2,Kreutz,Dec20-21 2017
